Distrito Geografico,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada,Duración Proyectada,Duración Real,Retraso,Desviación Presupuestaria
1,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Design,Complete,186049,145846.0,106797.0,154.0,280.0,126.0,-42.6
1,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,Scope,Complete,73176,195932.0,177643.0,139.0,182.0,43.0,142.76
1,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,Design,Complete,355589,310017.0,290581.0,174.0,345.0,171.0,-18.28
1,P.S. 134 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,371656,171214.0,171214.0,141.0,87.0,-54.0,-53.93
1,P.S. 134 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,1486620,826156.0,771304.0,150.0,115.0,-35.0,-48.12
1,P.S. 184 - MANHATTAN,SCA CIP,FY18 RESO A ELECTRICAL SYSTEMS / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Scope,Complete,15710,29475.0,29475.0,1092.0,1211.0,119.0,87.62
1,P.S. 184 - MANHATTAN,SCA CIP,FY18 RESO A ELECTRICAL SYSTEMS / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Design,Complete,62520,98375.0,74465.0,156.0,239.0,83.0,19.11
1,P.S. 184 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,5326,2660.0,2660.0,120.0,17.0,-103.0,-50.06
1,P.S. 184 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,23966,10640.0,10640.0,182.0,55.0,-127.0,-55.6
1,P.S. 140 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,504775,543899.0,505763.0,141.0,86.0,-55.0,0.2
1,P.S. 140 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,2518835,2354532.0,1756812.0,150.0,1333.0,1183.0,-30.25
1,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,4336,4223.0,4223.0,120.0,16.0,-104.0,-2.61
1,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,19513,17729.0,17729.0,182.0,61.0,-121.0,-9.14
1,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,86400,152029.0,152029.0,181.0,89.0,-92.0,75.96
1,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,432000,390753.0,347885.0,287.0,217.0,-70.0,-19.47
1,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / PARAPETS / ROOFS,Scope,Complete,154686,233284.0,88837.0,138.0,278.0,140.0,-42.57
2,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Scope,Complete,373649,159135.0,159120.0,143.0,83.0,-60.0,-57.41
2,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Design,Complete,1494600,1080167.0,939756.0,153.0,131.0,-22.0,-37.12
2,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,26919,6899.0,6899.0,179.0,145.0,-34.0,-74.37
2,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,Scope,Complete,113406,3077.0,3077.0,123.0,257.0,134.0,-97.29
2,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,Design,Complete,559432,344697.0,333251.0,155.0,848.0,693.0,-40.43
2,P.S. 2 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3740,945.0,945.0,120.0,23.0,-97.0,-74.73
2,P.S. 2 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,16830,3780.0,3780.0,177.0,146.0,-31.0,-77.54
2,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,4065,1585.0,1585.0,121.0,10.0,-111.0,-61.01
2,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,18290,6342.0,6342.0,181.0,104.0,-77.0,-65.33
2,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,Design,Complete,60518,89611.0,80611.0,56.0,63.0,7.0,33.2
2,P.P.A.S. - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,5043,1294.0,1294.0,123.0,19.0,-104.0,-74.34
2,P.P.A.S. - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,22694,5176.0,5176.0,177.0,162.0,-15.0,-77.19
2,P.S. 33 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS PLAYGROUND SAFETY SURFACE,Scope,Complete,39007,69397.0,69397.0,151.0,217.0,66.0,77.91
2,P.S. 33 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS PLAYGROUND SAFETY SURFACE,Design,Complete,192928,234471.0,226749.0,155.0,658.0,503.0,17.53
2,P.S. 33 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,6015,5355.0,5355.0,120.0,93.0,-27.0,-10.97
2,P.S. 33 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,27067,21421.0,21421.0,182.0,182.0,0.0,-20.86
2,P.S. 40 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,Scope,Complete,319430,368295.0,365506.0,135.0,328.0,193.0,14.42
2,P.S. 40 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,Design,Complete,1597150,1149263.0,974622.0,150.0,105.0,-45.0,-38.98
2,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,Design,Complete,43862,72006.0,70456.0,170.0,211.0,41.0,60.63
2,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,Design,Complete,56890,79380.0,70380.0,120.0,79.0,-41.0,23.71
2,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,172368,155663.0,153802.0,139.0,229.0,90.0,-10.77
2,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,860032,584811.0,513457.0,153.0,458.0,305.0,-40.3
2,P.S. 41 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,4394,1614.0,1614.0,121.0,20.0,-101.0,-63.27
2,P.S. 41 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,19773,6457.0,6457.0,177.0,162.0,-15.0,-67.34
2,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,129854,175514.0,169963.0,139.0,190.0,51.0,30.89
2,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,643030,611673.0,556378.0,152.0,159.0,7.0,-13.48
2,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,4335,1674.0,1674.0,121.0,9.0,-112.0,-61.38
2,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,19510,6698.0,6698.0,181.0,98.0,-83.0,-65.67
2,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,27730,54369.0,54369.0,93.0,89.0,-4.0,96.07
2,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,138650,355523.0,224041.0,184.0,470.0,286.0,61.59
2,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,Scope,Complete,247331,323214.0,323204.0,138.0,222.0,84.0,30.68
2,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,Design,Complete,1236651,935117.0,761396.0,154.0,127.0,-27.0,-38.43
2,P.S. 151 - MANHATTAN,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,54409,139006.0,65071.0,139.0,220.0,81.0,19.6
2,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2081,6193.0,6193.0,121.0,13.0,-108.0,197.6
2,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,9363,24772.0,24772.0,178.0,260.0,82.0,164.57
2,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,RESO A LOCKER ROOM UPGRADE,Design,Complete,195787,126845.0,119106.0,135.0,127.0,-8.0,-39.17
2,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Scope,Complete,5615,5615.0,130.0,96.0,83.0,-13.0,-97.68
2,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Design,Complete,521,521.0,521.0,124.0,131.0,7.0,0.0
2,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,4160,4833.0,4833.0,123.0,21.0,-102.0,16.18
2,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,18720,19334.0,19334.0,182.0,125.0,-57.0,3.28
2,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,Design,Complete,90524,94457.0,79543.0,126.0,161.0,35.0,-12.13
2,P.S. 111 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,4480,3704.0,3704.0,124.0,12.0,-112.0,-17.32
2,P.S. 111 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,20160,14814.0,14814.0,183.0,113.0,-70.0,-26.52
2,I.S. 114 - MANHATTAN,SCA CIP RESOA,FY16 RESO A GREEN ROOF,Design,Complete,39714,183531.0,183531.0,154.0,1094.0,940.0,362.13
2,I.S. 114 - MANHATTAN,SCA CIP RESOA,RESO A- DANCE STUDIO,Design,Complete,45750,111363.0,80911.0,156.0,364.0,208.0,76.85
2,P.S. 124 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,154300,247640.0,247640.0,181.0,161.0,-20.0,60.49
2,P.S. 124 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,771500,449392.0,449392.0,229.0,245.0,16.0,-41.75
2,P.S. 124 - MANHATTAN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,Design,Complete,42000,53366.0,11831.0,137.0,141.0,4.0,-71.83
2,P.S. 126 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,279097,290155.0,290155.0,141.0,79.0,-62.0,3.96
2,P.S. 126 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,1385660,859901.0,842340.0,152.0,499.0,347.0,-39.21
2,P.S. 126 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,5645,2617.0,2617.0,123.0,7.0,-116.0,-53.64
2,P.S. 126 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,25403,10465.0,10465.0,179.0,45.0,-134.0,-58.8
2,P.S. 130 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3380,2286.0,2286.0,121.0,1.0,-120.0,-32.37
2,P.S. 130 - MANHATTAN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,Design,Complete,36000,52960.0,51692.0,141.0,115.0,-26.0,43.59
2,P.S. 158 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM,Scope,Complete,30137,38340.0,38340.0,133.0,387.0,254.0,27.22
2,P.S. 158 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM,Design,Complete,145516,225920.0,189181.0,188.0,272.0,84.0,30.01
2,I.S. 167 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE / FY23 RESO A GYMNASIUM UPGRADE,Design,Complete,31610,51774.0,31855.0,144.0,225.0,81.0,0.78
2,M169 SPED - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / WINDOWS / ROOFS / PATH OF TRAVEL ROOF,Scope,Complete,61639,88445.0,88445.0,609.0,592.0,-17.0,43.49
2,M169 SPED - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / WINDOWS / ROOFS / PATH OF TRAVEL ROOF,Design,Complete,301587,179754.0,150125.0,115.0,218.0,103.0,-50.22
2,P.S. 183 - MANHATTAN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Design,Complete,36000,58475.0,49903.0,147.0,119.0,-28.0,38.62
2,P.S. 183 - MANHATTAN,SCA CIP RESOA,NYS IPDVS NEW INSTALLATION,Design,Complete,30000,2836.0,2836.0,182.0,96.0,-86.0,-90.55
2,P.S. 290 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,76099,83507.0,83507.0,884.0,812.0,-72.0,9.73
2,P.S. 290 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,291517,386048.0,366697.0,152.0,65.0,-87.0,25.79
2,P.S. 290 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,Complete,4310303,4022455.0,3437934.0,789.0,631.0,-158.0,-20.24
2,P.S. 290 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",Complete,522514,533996.0,529604.0,789.0,631.0,-158.0,1.36
2,P.S. 290 - MANHATTAN,SCA CIP RESOA,RESO A ROOFTOP PLAYGROUND,Design,Complete,643687,234030.0,15990.0,154.0,323.0,169.0,-97.52
2,P.S. 77 - MANHATTAN,SCA CIP RESOA,FY24 RESO A IPDVS CAMERA INSTALLATION,Design,Complete,27000,19762.0,19762.0,178.0,112.0,-66.0,-26.81
2,P.S. 234 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Scope,Complete,28750,95254.0,93861.0,135.0,644.0,509.0,226.47
2,P.S. 234 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Design,Complete,143751,187935.0,120611.0,153.0,170.0,17.0,-16.1
2,P.S. 234 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3954,911.0,911.0,121.0,4.0,-117.0,-76.96
2,P.S. 234 - MANHATTAN,SCA CIP,FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,30637,756.0,756.0,91.0,51.0,-40.0,-97.53
2,P.S. 267 - MANHATTAN,SCA CIP,IPDVS FULL CAMERA UPGRADE,Scope,Complete,3341,5686.0,5686.0,120.0,22.0,-98.0,70.19
2,P.S. 267 - MANHATTAN,SCA CIP,IPDVS FULL CAMERA UPGRADE,Design,Complete,15033,22743.0,22743.0,176.0,98.0,-78.0,51.29
2,P.S./I.S. 217 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,4130,2003.0,2003.0,123.0,5.0,-118.0,-51.5
2,P.S./I.S. 217 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,18586,8012.0,8012.0,177.0,38.0,-139.0,-56.89
2,P.S./I.S. 276 - MANHATTAN,SCA CIP,IDA INTERIOR SPACES / IDA FLOOD ELIMINATION,Scope,Complete,18284,40499.0,39644.0,120.0,442.0,322.0,116.82
2,P.S./I.S. 276 - MANHATTAN,SCA CIP,IDA INTERIOR SPACES / IDA FLOOD ELIMINATION,Design,Complete,82275,61758.0,55851.0,183.0,303.0,120.0,-32.12
2,I.S. 896 - MANHATTAN,SCA CIP RESOA,FY23 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,Design,Complete,30000,43563.0,41415.0,130.0,298.0,168.0,38.05
2,P.S. 51 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,Design,Complete,15052,29640.0,29640.0,174.0,287.0,113.0,96.92
2,JAMES BALDWIN SCHOOL - MANHATTAN,SCA CIP,DEFECTIVE POOL FOUNDATION WALLS,Scope,Complete,176680,154529.0,154529.0,153.0,371.0,218.0,-12.54
2,JAMES BALDWIN SCHOOL - MANHATTAN,SCA CIP,DEFECTIVE POOL FOUNDATION WALLS,Design,Complete,883400,521017.0,480422.0,185.0,441.0,256.0,-45.62
2,JAMES BALDWIN SCHOOL - MANHATTAN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,Scope,Complete,98775,132497.0,132497.0,139.0,112.0,-27.0,34.14
2,JAMES BALDWIN SCHOOL - MANHATTAN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,Design,Complete,492101,415286.0,345032.0,153.0,224.0,71.0,-29.89
2,HUDSON HS OF LEARNING TECH - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,3418,6911.0,6911.0,121.0,6.0,-115.0,102.19
2,HUDSON HS OF LEARNING TECH - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,15380,27643.0,27643.0,178.0,184.0,6.0,79.73
2,LOWER MANHATTAN ARTS - MANHATTAN,SCA CIP RESOA,FY21 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,Complete,125400,121298.0,92493.0,120.0,120.0,0.0,-26.24
2,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,SCA CIP,COVID VENTILATION / COVID CLIMATE CONTROL / COVID LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,198200,239364.0,190528.0,120.0,302.0,182.0,-3.87
2,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,SCA CIP,COVID VENTILATION / COVID CLIMATE CONTROL / COVID LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,991001,896859.0,616499.0,153.0,173.0,20.0,-37.79
2,HS FOR HEALTH PROF & HUMAN SERV-M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,37305,99671.0,99671.0,253.0,159.0,-94.0,167.18
2,HS FOR HEALTH PROF & HUMAN SERV-M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,180483,354828.0,354828.0,246.0,384.0,138.0,96.6
2,HS FOR HEALTH PROF & HUMAN SERV-M,SCA CIP,AUDITORIUM UPGRADE / ROOFS / PATH OF TRAVEL AUDITORIUM UPGRADE / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,277969,185667.0,185667.0,686.0,652.0,-34.0,-33.21
2,HS FOR HEALTH PROF & HUMAN SERV-M,SCA CIP,AUDITORIUM UPGRADE / ROOFS / PATH OF TRAVEL AUDITORIUM UPGRADE / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,1388986,712795.0,596637.0,72.0,549.0,477.0,-57.05
2,STUYVESANT HS - MANHATTAN,SCA CIP,COOLING TOWER REPLACEMENT / VENTILATION / LOW VOLTAGE ELECTRICAL SYSTEM / BMS UPGRADE,Scope,Complete,111561,296841.0,296841.0,400.0,978.0,578.0,166.08
